source,target,weight
2009:C0,2010:C0,24.798097300000002
2009:C0,2010:C1,3.95982252
2009:C0,2010:C12,1.4207910400000001
2009:C0,2010:C16,2.4184817499999998
2009:C0,2010:C2,4.5540967299999995
2009:C0,2010:C3,4.24582295
2009:C0,2010:C4,2.03351846
2009:C0,2010:C5,3.5334417399999998
2009:C0,2010:C56,2.7965226
2009:C0,2010:C57,1.4676464999999999
2009:C0,2010:C6,3.43680468
2009:C1,2010:C0,10.815910689999999
2009:C1,2010:C1,1.5140501400000002
2009:C1,2010:C12,0.8630326
2009:C1,2010:C16,0.6957886
2009:C1,2010:C2,2.21154797
2009:C1,2010:C3,1.99908537
2009:C1,2010:C4,1.3180050300000001
2009:C1,2010:C5,2.74819644
2009:C1,2010:C56,0.6663569
2009:C1,2010:C57,0.6665188
2009:C1,2010:C6,1.4809880400000002
2009:C1,2010:C8,1.56215367
2009:C10,2010:C0,5.68495546
2009:C10,2010:C1,1.23708838
2009:C10,2010:C16,0.6776176
2009:C10,2010:C2,0.75316656
2009:C10,2010:C3,0.7388252
2009:C10,2010:C4,0.62724817
2009:C10,2010:C5,0.6663569
2009:C10,2010:C56,1.0000002
2009:C10,2010:C57,0.77263033
2009:C10,2010:C6,0.6427107
2009:C15,2010:C0,2.6146024800000003
2009:C15,2010:C1,0.6354205
2009:C15,2010:C2,0.6459111
2009:C15,2010:C3,0.67508453
2009:C15,2010:C5,0.6665188
2009:C15,2010:C56,0.77263033
2009:C15,2010:C57,1.0000002
2009:C2,2010:C0,9.17361309
2009:C2,2010:C1,1.53152883
2009:C2,2010:C16,0.7394084
2009:C2,2010:C2,1.0000001
2009:C2,2010:C3,0.88307893
2009:C2,2010:C30,0.6560001
2009:C2,2010:C4,0.77019215
2009:C2,2010:C5,1.4574036000000001
2009:C2,2010:C56,0.75316656
2009:C2,2010:C57,0.6459111
2009:C2,2010:C6,0.92417604
2009:C2,2010:C8,0.77066225
2009:C29,2010:C0,3.38222355
2009:C29,2010:C2,0.76169026
2009:C29,2010:C3,0.6774624
2009:C29,2010:C5,0.7919555
2009:C29,2010:C6,0.72086704
2009:C29,2010:C8,0.8845852
2009:C6,2010:C0,7.03682381
2009:C6,2010:C1,1.3621579000000001
2009:C6,2010:C16,0.60284364
2009:C6,2010:C2,0.92417604
2009:C6,2010:C3,0.88619924
2009:C6,2010:C4,0.6352906
2009:C6,2010:C5,0.74106824
2009:C6,2010:C56,0.6427107
2009:C6,2010:C6,0.9999999
2009:C6,2010:C8,0.7311425
2009:C8,2010:C0,3.23724166
2009:C8,2010:C2,0.77066225
2009:C8,2010:C3,0.7047286
2009:C8,2010:C5,0.76340127
2009:C8,2010:C6,0.7311425
2009:C8,2010:C8,0.9999999
2010:C0,2011:C0,77.59932706000001
2010:C0,2011:C10,5.68495559
2010:C0,2011:C11,5.21004036
2010:C0,2011:C2,12.0405035
2010:C0,2011:C20,6.316771709999999
2010:C0,2011:C3,8.80627442
2010:C0,2011:C32,4.23213623
2010:C0,2011:C33,2.6992790600000003
2010:C0,2011:C34,2.61460268
2010:C0,2011:C4,5.1988322799999995
2010:C0,2011:C45,0.61920583
2010:C0,2011:C5,4.94012457
2010:C0,2011:C6,7.03682358
2010:C0,2011:C69,3.38222356
2010:C0,2011:C7,2.10794857
2010:C0,2011:C74,2.21601015
2010:C1,2011:C0,11.34295466
2010:C1,2011:C10,1.23708844
2010:C1,2011:C11,0.77843714
2010:C1,2011:C2,2.1372364299999997
2010:C1,2011:C20,0.72232914
2010:C1,2011:C3,2.13183367
2010:C1,2011:C32,0.7094625
2010:C1,2011:C33,0.60994947
2010:C1,2011:C34,0.63542044
2010:C1,2011:C4,0.673002
2010:C1,2011:C45,0.6264325
2010:C1,2011:C5,1.30213321
2010:C1,2011:C6,1.36215775
2010:C1,2011:C7,0.8070814
2010:C1,2011:C74,0.88057727
2010:C12,2011:C0,2.54592256
2010:C12,2011:C3,0.63127047
2010:C12,2011:C33,0.6882435
2010:C16,2011:C0,5.74261488
2010:C16,2011:C10,0.67761767
2010:C16,2011:C2,0.73940825
2010:C16,2011:C3,1.44567015
2010:C16,2011:C32,0.64315796
2010:C16,2011:C33,0.603789
2010:C16,2011:C6,0.60284364
2010:C2,2011:C0,13.29221913
2010:C2,2011:C10,0.75316656
2010:C2,2011:C11,0.8369872
2010:C2,2011:C2,1.7933994000000002
2010:C2,2011:C20,0.8266364
2010:C2,2011:C3,1.57078498
2010:C2,2011:C32,0.7701922
2010:C2,2011:C33,0.7501972
2010:C2,2011:C34,0.64591116
2010:C2,2011:C4,0.82369286
2010:C2,2011:C45,0.656
2010:C2,2011:C5,0.79380625
2010:C2,2011:C6,0.92417616
2010:C2,2011:C69,0.7616903
2010:C2,2011:C7,0.755641
2010:C2,2011:C74,0.7300149
2010:C3,2011:C0,10.07697881
2010:C3,2011:C10,0.7388252
2010:C3,2011:C11,0.73703796
2010:C3,2011:C2,1.6316157
2010:C3,2011:C20,0.66025984
2010:C3,2011:C3,1.7044898
2010:C3,2011:C32,0.62433285
2010:C3,2011:C33,0.6896175
2010:C3,2011:C34,0.67508465
2010:C3,2011:C4,0.71325016
2010:C3,2011:C5,0.6876557
2010:C3,2011:C6,0.8861993
2010:C3,2011:C69,0.67746246
2010:C3,2011:C7,0.6488048
2010:C3,2011:C74,0.73036325
2010:C30,2011:C2,0.656
2010:C30,2011:C32,0.6277592
2010:C30,2011:C45,1.0
2010:C4,2011:C0,5.67304725
2010:C4,2011:C10,0.62724817
2010:C4,2011:C11,0.73840594
2010:C4,2011:C2,0.7701922
2010:C4,2011:C20,0.717859
2010:C4,2011:C3,0.6243328
2010:C4,2011:C32,1.0
2010:C4,2011:C45,0.6277592
2010:C4,2011:C5,0.74256444
2010:C4,2011:C6,0.6352906
2010:C5,2011:C0,13.09627669
2010:C5,2011:C10,0.6663569
2010:C5,2011:C11,0.82005686
2010:C5,2011:C2,2.0783163
2010:C5,2011:C20,0.99999994
2010:C5,2011:C3,1.2625952900000001
2010:C5,2011:C32,0.717859
2010:C5,2011:C33,0.8650576
2010:C5,2011:C34,0.6665189
2010:C5,2011:C4,0.7698093
2010:C5,2011:C5,0.8441841
2010:C5,2011:C6,0.7410683
2010:C5,2011:C69,0.7919555
2010:C5,2011:C7,0.6189046
2010:C5,2011:C74,0.6984415
2010:C56,2011:C0,7.23246663
2010:C56,2011:C10,1.0000002
2010:C56,2011:C11,0.75548905
2010:C56,2011:C2,0.75316656
2010:C56,2011:C20,0.6663569
2010:C56,2011:C3,0.7388252
2010:C56,2011:C32,0.62724817
2010:C56,2011:C34,0.77263033
2010:C56,2011:C4,0.70334935
2010:C56,2011:C5,0.6177837
2010:C56,2011:C6,0.6427107
2010:C56,2011:C7,0.60602015
2010:C57,2011:C0,3.99916459
2010:C57,2011:C10,0.77263033
2010:C57,2011:C11,0.74299014
2010:C57,2011:C2,0.64591116
2010:C57,2011:C20,0.6665189
2010:C57,2011:C3,0.67508465
2010:C57,2011:C34,1.0000001
2010:C57,2011:C4,0.68998396
2010:C57,2011:C5,0.6114302
2010:C57,2011:C7,0.6140014
2010:C6,2011:C0,11.50160799
2010:C6,2011:C10,0.6427107
2010:C6,2011:C11,0.72750705
2010:C6,2011:C2,1.76337816
2010:C6,2011:C20,0.7410683
2010:C6,2011:C3,1.50103367
2010:C6,2011:C32,0.6352906
2010:C6,2011:C33,0.6682739
2010:C6,2011:C4,0.7809039
2010:C6,2011:C5,0.67040396
2010:C6,2011:C6,1.0
2010:C6,2011:C69,0.720867
2010:C6,2011:C7,0.65446055
2010:C6,2011:C74,0.7039194
2010:C8,2011:C0,2.77322261
2010:C8,2011:C2,1.49172288
2010:C8,2011:C3,0.7047286
2010:C8,2011:C33,0.92760766
2010:C8,2011:C6,0.7311424
2010:C8,2011:C69,0.88458514
2010:C8,2011:C74,0.76617336
2011:C0,2012:C0,113.14544062
2011:C0,2012:C1,9.91400366
2011:C0,2012:C12,4.03604645
2011:C0,2012:C2,20.78931261
2011:C0,2012:C25,8.77891952
2011:C0,2012:C3,16.77865514
2011:C0,2012:C31,2.8406738000000002
2011:C0,2012:C41,6.9904969900000005
2011:C0,2012:C5,6.78822627
2011:C0,2012:C6,15.50077222
2011:C0,2012:C64,7.36324235
2011:C0,2012:C72,8.95041228
2011:C0,2012:C75,8.01152205
2011:C0,2012:C78,10.70098115
2011:C0,2012:C82,6.84430246
2011:C10,2012:C0,7.72649907
2011:C10,2012:C2,1.47812666
2011:C10,2012:C25,0.75548905
2011:C10,2012:C3,0.7388252
2011:C10,2012:C41,0.65438515
2011:C10,2012:C5,0.6177837
2011:C10,2012:C6,1.41534103
2011:C10,2012:C64,0.6362164
2011:C10,2012:C72,0.7802094
2011:C10,2012:C75,0.6844104
2011:C10,2012:C78,0.66635686
2011:C10,2012:C82,0.6684662
2011:C11,2012:C0,8.76143265
2011:C11,2012:C2,1.4599099
2011:C11,2012:C25,1.0
2011:C11,2012:C3,0.73703796
2011:C11,2012:C41,0.73477614
2011:C11,2012:C5,0.7282511
2011:C11,2012:C6,1.4704971900000001
2011:C11,2012:C64,0.77843714
2011:C11,2012:C72,0.7591572
2011:C11,2012:C75,0.7959138
2011:C11,2012:C78,0.82005686
2011:C2,2012:C0,14.99329308
2011:C2,2012:C1,4.04087566
2011:C2,2012:C12,1.36394076
2011:C2,2012:C2,4.22674383
2011:C2,2012:C25,0.8369872
2011:C2,2012:C3,3.24331216
2011:C2,2012:C31,1.56295435
2011:C2,2012:C41,0.7597555
2011:C2,2012:C5,0.79380625
2011:C2,2012:C6,2.40928926
2011:C2,2012:C64,0.7977532
2011:C2,2012:C72,0.76364124
2011:C2,2012:C75,0.77374196
2011:C2,2012:C78,0.8266364
2011:C2,2012:C82,0.74529773
2011:C20,2012:C0,9.22726381
2011:C20,2012:C2,0.8266363
2011:C20,2012:C25,0.82005686
2011:C20,2012:C3,0.66025984
2011:C20,2012:C41,0.72403866
2011:C20,2012:C5,0.8441841
2011:C20,2012:C6,1.4075872600000001
2011:C20,2012:C64,0.72232914
2011:C20,2012:C72,0.721846
2011:C20,2012:C75,0.7286891
2011:C20,2012:C78,0.9999998
2011:C20,2012:C82,0.6227985
2011:C3,2012:C0,14.16949118
2011:C3,2012:C1,3.32800047
2011:C3,2012:C2,2.31932167
2011:C3,2012:C25,0.73703796
2011:C3,2012:C3,3.04871317
2011:C3,2012:C31,0.67746246
2011:C3,2012:C41,0.63135743
2011:C3,2012:C5,1.37437196
2011:C3,2012:C6,2.17611826
2011:C3,2012:C64,0.6758516
2011:C3,2012:C72,0.6256468
2011:C3,2012:C75,0.67990744
2011:C3,2012:C78,0.66025984
2011:C3,2012:C82,1.2358427
2011:C32,2012:C0,5.95569411
2011:C32,2012:C1,0.6001461
2011:C32,2012:C2,1.4944422
2011:C32,2012:C25,0.73840594
2011:C32,2012:C3,0.62433285
2011:C32,2012:C41,0.6205008
2011:C32,2012:C5,0.74256444
2011:C32,2012:C6,0.6352906
2011:C32,2012:C64,0.7094625
2011:C32,2012:C78,0.717859
2011:C32,2012:C82,0.7286644
2011:C33,2012:C0,1.9942986
2011:C33,2012:C1,2.43917083
2011:C33,2012:C12,0.88073593
2011:C33,2012:C2,1.46602284
2011:C33,2012:C3,2.2154751
2011:C33,2012:C31,0.93005896
2011:C33,2012:C6,0.6682739
2011:C34,2012:C0,3.98216211
2011:C34,2012:C2,0.6459111
2011:C34,2012:C25,0.7429902
2011:C34,2012:C3,0.67508465
2011:C34,2012:C41,0.7144395
2011:C34,2012:C5,0.6114302
2011:C34,2012:C6,1.0000001
2011:C34,2012:C64,0.63542044
2011:C34,2012:C72,0.63100374
2011:C34,2012:C75,0.6531334
2011:C34,2012:C78,0.6665189
2011:C4,2012:C0,8.26767741
2011:C4,2012:C2,0.8236929
2011:C4,2012:C25,0.83830345
2011:C4,2012:C3,0.7132502
2011:C4,2012:C41,0.66844344
2011:C4,2012:C5,0.6377846
2011:C4,2012:C6,1.4708881
2011:C4,2012:C64,0.67300206
2011:C4,2012:C72,0.86345005
2011:C4,2012:C75,0.8678708
2011:C4,2012:C78,0.7698093
2011:C45,2012:C0,0.6277592
2011:C45,2012:C2,1.3221902700000001
2011:C45,2012:C41,0.61920583
2011:C45,2012:C64,0.6264325
2011:C5,2012:C0,8.25899205
2011:C5,2012:C2,0.7938063
2011:C5,2012:C25,0.7282511
2011:C5,2012:C3,0.6876557
2011:C5,2012:C41,0.7080027
2011:C5,2012:C5,1.0
2011:C5,2012:C6,1.28183416
2011:C5,2012:C64,0.70137227
2011:C5,2012:C75,0.62192756
2011:C5,2012:C78,0.84418404
2011:C5,2012:C82,0.6048179
2011:C6,2012:C0,10.53606796
2011:C6,2012:C1,0.7399198
2011:C6,2012:C2,1.76337816
2011:C6,2012:C25,0.7275071
2011:C6,2012:C3,1.6997879
2011:C6,2012:C31,0.720867
2011:C6,2012:C41,0.6823401
2011:C6,2012:C5,0.67040396
2011:C6,2012:C6,1.0
2011:C6,2012:C64,0.68475515
2011:C6,2012:C72,0.7111479
2011:C6,2012:C75,0.7146312
2011:C6,2012:C78,0.74106836
2011:C6,2012:C82,0.64075804
2011:C69,2012:C0,2.0025171
2011:C69,2012:C1,2.30944386
2011:C69,2012:C12,0.8768927
2011:C69,2012:C2,1.5629543099999998
2011:C69,2012:C3,1.56037826
2011:C69,2012:C31,1.0000001
2011:C69,2012:C6,0.720867
2011:C7,2012:C0,4.98142852
2011:C7,2012:C2,0.7556411
2011:C7,2012:C25,0.64961153
2011:C7,2012:C3,0.6488048
2011:C7,2012:C41,0.74803877
2011:C7,2012:C5,0.64516103
2011:C7,2012:C6,1.268462
2011:C7,2012:C64,0.8070814
2011:C7,2012:C78,0.6189046
2011:C74,2012:C0,1.37683365
2011:C74,2012:C1,2.43141281
2011:C74,2012:C12,0.68463403
2011:C74,2012:C2,1.4474157
2011:C74,2012:C3,1.4958304199999999
2011:C74,2012:C31,0.76299417
2011:C74,2012:C6,0.7039194
2011:C74,2012:C82,0.6416426
2012:C0,2013:C0,143.81501926
2012:C0,2013:C1,4.59062217
2012:C0,2013:C11,8.76143271
2012:C0,2013:C2,26.21848908
2012:C0,2013:C4,17.60272243
2012:C0,2013:C42,5.12353122
2012:C0,2013:C5,8.88675104
2012:C0,2013:C52,4.64672576
2012:C0,2013:C63,2.1771929
2012:C0,2013:C67,7.55018289
2012:C0,2013:C7,4.98142818
2012:C0,2013:C8,1.95799367
2012:C0,2013:C9,1.99429863
2012:C1,2013:C0,7.6739856
2012:C1,2013:C1,1.54168469
2012:C1,2013:C2,4.04087571
2012:C1,2013:C4,5.34100277
2012:C1,2013:C52,1.36233592
2012:C1,2013:C63,1.6049687000000001
2012:C1,2013:C8,2.28110387
2012:C1,2013:C9,2.4391708
2012:C12,2013:C0,2.675686
2012:C12,2013:C2,1.3639409
2012:C12,2013:C4,1.56152673
2012:C12,2013:C63,0.667775
2012:C12,2013:C8,0.81162566
2012:C12,2013:C9,0.8807358
2012:C2,2013:C0,26.74574012
2012:C2,2013:C1,1.33948332
2012:C2,2013:C11,1.4599099
2012:C2,2013:C2,7.26707675
2012:C2,2013:C4,5.3285050599999995
2012:C2,2013:C42,0.74948394
2012:C2,2013:C5,2.11599657
2012:C2,2013:C52,0.6877061
2012:C2,2013:C67,1.41598529
2012:C2,2013:C7,0.7556411
2012:C2,2013:C8,1.49172288
2012:C2,2013:C9,1.4660229
2012:C25,2013:C0,12.42375112
2012:C25,2013:C11,1.0
2012:C25,2013:C2,2.1946859400000003
2012:C25,2013:C4,1.57670939
2012:C25,2013:C42,0.68423444
2012:C25,2013:C5,0.72825116
2012:C25,2013:C67,0.7784372
2012:C25,2013:C7,0.6496115
2012:C3,2013:C0,18.67899209
2012:C3,2013:C1,0.7337831
2012:C3,2013:C11,0.73703796
2012:C3,2013:C2,3.87466939
2012:C3,2013:C4,4.39379173
2012:C3,2013:C42,0.63157296
2012:C3,2013:C5,0.6876556
2012:C3,2013:C52,1.3357601
2012:C3,2013:C63,0.9999999
2012:C3,2013:C67,0.6758516
2012:C3,2013:C7,0.6488048
2012:C3,2013:C8,1.58170545
2012:C3,2013:C9,2.2154753
2012:C31,2013:C0,3.5615408
2012:C31,2013:C2,1.56295436
2012:C31,2013:C4,1.76299417
2012:C31,2013:C8,0.88458514
2012:C31,2013:C9,0.9300589
2012:C41,2013:C0,10.47797137
2012:C41,2013:C11,0.73477614
2012:C41,2013:C2,2.4003878
2012:C41,2013:C4,1.2889442
2012:C41,2013:C5,1.32720853
2012:C41,2013:C67,0.81418484
2012:C41,2013:C7,0.74803877
2012:C5,2013:C0,10.27690537
2012:C5,2013:C1,0.60076094
2012:C5,2013:C11,0.7282511
2012:C5,2013:C2,1.501809
2012:C5,2013:C4,1.38034904
2012:C5,2013:C5,0.99999994
2012:C5,2013:C52,0.68671626
2012:C5,2013:C67,0.70137227
2012:C5,2013:C7,0.64516103
2012:C6,2013:C0,20.25736992
2012:C6,2013:C1,0.6774027
2012:C6,2013:C11,1.4704971900000001
2012:C6,2013:C2,3.80606886
2012:C6,2013:C4,3.5309649
2012:C6,2013:C42,0.7505319
2012:C6,2013:C5,1.28183416
2012:C6,2013:C52,0.6148343
2012:C6,2013:C67,1.32017554
2012:C6,2013:C7,1.268462
2012:C6,2013:C8,0.7311424
2012:C6,2013:C9,0.6682739
2012:C64,2013:C0,10.13883582
2012:C64,2013:C11,0.77843714
2012:C64,2013:C2,2.2301701
2012:C64,2013:C4,1.3824645599999998
2012:C64,2013:C42,0.6010073
2012:C64,2013:C5,1.3278048
2012:C64,2013:C67,1.0
2012:C64,2013:C7,0.80708134
2012:C72,2013:C0,12.42734777
2012:C72,2013:C11,0.7591572
2012:C72,2013:C2,2.0542769499999998
2012:C72,2013:C4,0.86345005
2012:C72,2013:C42,0.75196147
2012:C72,2013:C67,0.65204597
2012:C75,2013:C0,10.75117721
2012:C75,2013:C11,0.7959138
2012:C75,2013:C2,1.4223626600000001
2012:C75,2013:C4,0.8678709
2012:C75,2013:C42,0.6945992
2012:C75,2013:C5,0.62192756
2012:C75,2013:C67,0.6468624
2012:C78,2013:C0,13.64613071
2012:C78,2013:C11,0.82005686
2012:C78,2013:C2,1.5506749599999998
2012:C78,2013:C4,1.4876683000000002
2012:C78,2013:C42,0.70469767
2012:C78,2013:C5,0.84418416
2012:C78,2013:C67,0.72232914
2012:C78,2013:C7,0.6189046
2012:C82,2013:C0,8.20355924
2012:C82,2013:C1,0.7550559
2012:C82,2013:C2,1.4718794000000002
2012:C82,2013:C4,1.370307
2012:C82,2013:C5,0.6048179
2012:C82,2013:C52,0.6049289
2013:C0,2014:C0,175.04337262
2013:C0,2014:C1,40.16313439
2013:C0,2014:C15,6.40086652
2013:C0,2014:C2,26.74574042
2013:C0,2014:C3,13.10669223
2013:C0,2014:C36,10.30096658
2013:C0,2014:C4,16.32559754
2013:C0,2014:C40,12.42375129
2013:C0,2014:C5,7.55868203
2013:C0,2014:C6,13.85650319
2013:C1,2014:C0,4.59062227
2013:C1,2014:C1,1.6007608800000002
2013:C1,2014:C2,1.33948332
2013:C1,2014:C3,0.7337831
2013:C1,2014:C36,0.6008721
2013:C1,2014:C5,1.3958985400000001
2013:C1,2014:C6,0.6774027
2013:C11,2014:C0,10.58312349
2013:C11,2014:C1,2.3267451
2013:C11,2014:C15,0.74299014
2013:C11,2014:C2,1.4599098000000001
2013:C11,2014:C3,0.7370379
2013:C11,2014:C36,0.75548905
2013:C11,2014:C4,0.83830345
2013:C11,2014:C40,1.0
2013:C11,2014:C6,0.72750705
2013:C2,2014:C0,33.70998463
2013:C2,2014:C1,7.87381708
2013:C2,2014:C14,1.9413961
2013:C2,2014:C15,1.3603505999999999
2013:C2,2014:C2,7.26707675
2013:C2,2014:C3,2.26297293
2013:C2,2014:C36,2.13251186
2013:C2,2014:C4,3.05509056
2013:C2,2014:C40,2.19468614
2013:C2,2014:C5,2.80867069
2013:C2,2014:C6,2.44571826
2013:C4,2014:C0,22.17401201
2013:C4,2014:C1,6.62145617
2013:C4,2014:C14,0.6277592
2013:C4,2014:C15,0.6899841
2013:C4,2014:C2,5.3285050599999995
2013:C4,2014:C3,2.7454086699999998
2013:C4,2014:C36,1.33059752
2013:C4,2014:C4,2.76299411
2013:C4,2014:C40,1.57670939
2013:C4,2014:C5,2.98348867
2013:C4,2014:C6,2.840981
2013:C42,2014:C0,6.91521762
2013:C42,2014:C1,1.30570497
2013:C42,2014:C2,0.74948394
2013:C42,2014:C3,0.63157296
2013:C42,2014:C4,0.8058716
2013:C42,2014:C40,0.68423444
2013:C42,2014:C6,0.7505319
2013:C5,2014:C0,11.14979603
2013:C5,2014:C1,3.7727498099999996
2013:C5,2014:C14,1.0000001
2013:C5,2014:C15,0.6114302
2013:C5,2014:C2,2.11599657
2013:C5,2014:C3,0.6876556
2013:C5,2014:C36,0.61778367
2013:C5,2014:C4,0.6377846
2013:C5,2014:C40,0.7282511
2013:C5,2014:C5,0.7545197
2013:C5,2014:C6,0.67040396
2013:C52,2014:C0,4.64672586
2013:C52,2014:C1,1.4089152600000001
2013:C52,2014:C2,0.6877061
2013:C52,2014:C3,1.33576017
2013:C52,2014:C5,1.37524521
2013:C52,2014:C6,0.6148343
2013:C63,2014:C0,2.17719301
2013:C63,2014:C1,0.8630325
2013:C63,2014:C3,0.9999999
2013:C63,2014:C5,0.74193615
2013:C67,2014:C0,9.02276562
2013:C67,2014:C1,2.42370151
2013:C67,2014:C14,0.6264325
2013:C67,2014:C15,0.63542044
2013:C67,2014:C2,1.4159852
2013:C67,2014:C3,0.6758516
2013:C67,2014:C36,0.63621634
2013:C67,2014:C4,0.67300206
2013:C67,2014:C40,0.7784372
2013:C67,2014:C6,0.68475515
2013:C7,2014:C0,6.46791647
2013:C7,2014:C1,2.07114703
2013:C7,2014:C15,0.6140014
2013:C7,2014:C2,0.7556411
2013:C7,2014:C3,0.6488048
2013:C7,2014:C36,0.60602015
2013:C7,2014:C4,0.64178824
2013:C7,2014:C40,0.64961153
2013:C7,2014:C6,0.6544606
2013:C8,2014:C0,2.77322257
2013:C8,2014:C1,0.76340127
2013:C8,2014:C2,1.49172293
2013:C8,2014:C3,0.7047286
2013:C8,2014:C4,0.8845852
2013:C8,2014:C5,1.4736114
2013:C8,2014:C6,0.7311424
