id,year,topic,top_terms,count,label_llm
2009:C0,2009,0,彼女;下;伝説;聖女;為る;来る;物語;一人;少女;魔術;師;魔法;使い;才能;最強;使う;皇太子;妃;居る;王妃;二;王子;王女;戦国;乱世;王立;忍者;村人;達;敵;有る;死ぬ;主人;創造;神;剣;筈;世界;魔獣;精霊;さん;為;魔物;一;迷宮,10,聖女の伝説と少女
2009:C1,2009,1,仕舞う;妹;為る;姉;無い;巫女;有る;婚約;解消;突然;私-代名詞;日;新婚;生活;絶世;美女;子爵;家;成る;伯爵;養子,3,姉妹の役割と存在
2009:C2,2009,2,ゲーム-game;ライフ-life;舞台;キャラクター-character;ライン-line;魔法;冒険,3,ゲームと人生の冒険
2009:C6,2009,6,日本;人;現代;有る;幽霊;世界,2,現代日本の幽霊観
2009:C8,2009,8,猫;為る;成る;姿,1,猫の存在と変化
2009:C10,2009,10,男;生まれる;貴族;為る;人;中年;男性;出会う,1,男の生涯と出会い
2009:C15,2009,15,!;アニメ-animation;読む;呉れる;?;ヒロイン-heroine;中;作画;勘弁,3,アニメとヒロインの魅力
2009:C29,2009,29,世界;生きる;人生;送る;生活;何;幕,1,世界での生き方
2010:C0,2010,0,女神;呼ぶ;魔王;打つ;領;有る;魔物;達;魔術;才能;マジック-magic;使う;魔力;量;魔法;為る;勇者;人物;集う;パーティー-party;メンバー-member;悪役;令嬢;前世;乙女;ゲーム-game;アナ-announcer;レディー-lady;ヒーロー-hero;中;選ぶ;彼;戦闘;討伐;世界;倒す;軍;不死;成る;呆気ない;死ぬ;不老;筈;覚める;見知る;不思議;少年;異;迷い込む;冒険;王太子;殿下;正妃;結婚;王子;姫;物語;フィクション-fiction;※;知識;魔境;学院;魔;石;特異;美形;クイーン-queen;王;様;貴族;因る;城,25,女神と魔王の戦い
2010:C1,2010,1,夫;愛する;私-代名詞;結婚;再婚;為る;婚約;浮気;恋愛;要素;嫉妬;どう,5,再婚と愛の再定義
2010:C2,2010,2,ゲーム-game;世界;有る;ライン-line;デス-death;為る,14,ゲームの世界と死
2010:C3,2010,3,学校;生活;独り暮らし;為る;高校;中学;卒業;有る;物語,3,高校生活の独り暮らし
2010:C4,2010,4,生きる;足掻く;命;辛々;死ぬ;仕舞う;逃げ出す;ダーク-dark,1,生きることの苦悩
2010:C5,2010,5,世界;暮らす;為る;姉;何;無い;両親;妹;居る;初恋;養子;憧れ;有る;子;自分;結婚,2,家族と世界の関係
2010:C6,2010,6,日本;人;有る;ファンタジー-fantasy;登場;人物;世界;魔術;剣,5,日本のファンタジー世界
2010:C8,2010,8,猫;成る;為る;事件;中;出会う;使い魔;奉公,3,猫と使い魔の出会い
2010:C12,2010,12,少年;物語;夢;希望;居る;日;書籍;生徒;達,1,少年の夢と希望
2010:C16,2010,16,魔物;蠢く;為る;ファンタジー-fantasy;世界;ロボット-robot;中世,1,中世ファンタジーとロボット
2010:C30,2010,30,中世;ヨーロッパ-europa;此の世;去る;世界;俺,1,中世ヨーロッパの世界観
2010:C56,2010,56,男;生まれる;紳士;歩む;彼;未熟;者,1,未熟な男の成長
2010:C57,2010,57,本編;番外;話;為る;内容;出来事;因る;編;此方,5,本編と番外の関係
2011:C0,2011,0,魔女;成る;少女;魔法;当たり前;職;剣;魔術;師;才能;世界;初級;公爵;令嬢;王子;結婚;婚約;令息;家;人;死ぬ;死;戻る;生きる;抜く;度;挽く;魔王;討伐;倒す;為る;軍;聖女;偽;有る;読む;事;皇太子;皇后;二;王太子;魔物;人間;為;迷宮;―;持つ;魔力;一緒;生徒;達;書籍;物語;御;貴族;社会;勇者;因る;殿下;人々;無双;蛮族;出会う;ドラゴン-dragon;竜;魂;転生;中世;ファンタジー-fantasy;神;知る;運命;様;殺す;主;士;私-代名詞;妖精;洞窟;中;大;オカルト-occult;魔獣;文鳥;動物;色々;魔境;使う;後;虹,45,魔女と少女の成長
2011:C2,2011,2,ゲーマー;ゲーム-game;世界;内;デス-death;小説;終わる;酷似;嵌まる;主人;本編,34,ゲームと死の交差点
2011:C3,2011,3,平凡;少女;学園;物語;彼女;学生;生活;少年;達;入学;学校;有る;授業;中;時代;クラス-class;毎,5,平凡な少女の学園生活
2011:C4,2011,4,人生;後悔;為る;無職;童貞;送る;死ぬ;仕舞う,2,人生の後悔と孤独
2011:C5,2011,5,28;歳;容姿;端麗;年下;幼馴染み;居る;一生,1,年下の幼馴染みとの恋
2011:C6,2011,6,現代;日本;元;世界;転移;彼;侵略,9,現代日本の世界転移
2011:C7,2011,7,才能;有る;貰う;スキル-skill;駆使;居る;力;苦難;乗り越える,3,才能とスキルの力
2011:C10,2011,10,男;生まれる;適当;生きる;世界;成り上がる;中年;男性;良い;暮らし,1,中年男性の生き方
2011:C11,2011,11,店員;社員;業;者;就職;アルバイト-arbeit,1,アルバイトと就職の関係
2011:C20,2011,20,為る;妹;キャラ-character;達;脇役;性格;攻略,3,脇役キャラの性格分析
2011:C32,2011,32,宇宙;進出;人類;時代;物語;五千;年;成る;地球,1,人類の宇宙進出の物語
2011:C33,2011,33,蹂躙;為る;サービス-service;終了;ギルド-guild;マスター-master;仲間;達;デッド-dead,1,仲間との絆と喪失
2011:C34,2011,34,有る;作者;小説;主人;都合;本;作品,12,作者の意図と作品
2011:C45,2011,45,叫ぶ;居る;母;何;俺;祖父;様;此処,1,家族の存在と叫び
2011:C69,2011,69,私-代名詞;人生;前世;世界;生まれ変わる;言う,4,私と前世の世界
2011:C74,2011,74,自暴;自棄;転移;者;被害;仕事;疲れる,1,自暴自棄の転移と影響
2012:C0,2012,0,現われる;女神;魔女;巫女;呼ぶ;姫;言う;世界;魔術;魔力;持つ;魔法;師;公爵;令嬢;王子;婚約;家;子爵;一;為る;才能;スキル-skill;有る;選ぶ;居る;使い;魔王;滅ぼす;救国;英雄;王国;王都;嘗て;勇者;自分;死ぬ;成る;王;達;聖女;偽;召喚;王女;結婚;王侯;貴族;妻;娶る;伝説;復活;仄々;ファンタジー-fantasy;ライフ-life;貰う;錬金;術;因る;城;少年;日;冒険;生活;帝国;此れ;前世;秘密;竜;ドラゴン-dragon;古;族;飛ばす;運命;神;信仰;※;書籍;育成;ゼロ-zero;無限;世;珍しい;無し;迷い込む;屈指;ゲーム-game;見知る;異;登,56,女神と魔女の象徴
2012:C1,2012,1,突然;婚約;どう;私-代名詞;悟る;成る;幼馴染み;有る;伯爵;男爵;家;彼女;知る;結婚;為る;妹;身代わり;ヒロイン-heroine;二;王子;兄弟;居る,3,婚約の突然な変化
2012:C2,2012,2,ゲーマー;居る;ゲーム-game;似る;世界;有る;乙女;ゲー-game;私-代名詞;キャラクター-character;関係;魔物;死ぬ;得る,34,ゲームの世界とゲーマー
2012:C3,2012,3,女子;高校;生;生活;美;少年;男子;生徒;居る;記憶;得る;頼り;放課;後;有る;教授;為る;教師;女王;様;悪役;令嬢;まったり;学園,6,高校生活と青春の葛藤
2012:C5,2012,5,幸せ;成る;恋人;彼氏;出来る;私-代名詞;幼馴染み;此れ;恋,1,幼馴染みとの恋愛
2012:C6,2012,6,中;コミック-comic;様;日本;国;!;アニメ-animation;コミカライズ;版;為る;古代;戻る;神話;時代;文明;崩壊,27,日本のコミックとアニメ
2012:C12,2012,12,歳;冒険;老後;頃;夢;若い;者;引退,1,若き日の夢と老後の冒険
2012:C25,2012,25,コンビニ-convenience;強盗;チート-cheat;貰う;居る;異,2,コンビニ強盗の心理
2012:C31,2012,31,人生;掛ける;俺;暮らす;世界;別;生き延びる;事,10,人生の選択と生き方
2012:C41,2012,41,人物;成る;嬢;様;女;異;生死;境;付く;私-代名詞,4,女性の存在とアイデンティティ
2012:C64,2012,64,独身;気侭;生活;為る;物語;感想;個別,1,独身生活の気侭さ
2012:C72,2012,72,宝石;http;:;挿し絵;ゴブリン-goblin;美形,2,美形ゴブリンの宝石物語
2012:C75,2012,75,僕;親友;唯一;友達;居る;死ぬ;仕舞う,1,親友との絆と死
2012:C78,2012,78,ヒロイン-heroine;妹;姉;為る;兄弟;転生;彼女;生活;末裔;有る,6,転生した兄弟の物語
2012:C82,2012,82,迷宮;都市;世界;大;洞窟;中,1,迷宮と都市の関係
2013:C0,2013,0,☆;小説;為;本編;魔王;成る;ファンタジア-fantasia;http;姫;達;美姫;妖精;彼女;人生;前世;日本;魔物;跋扈;?;迷宮;都市;世界;呼び出す;魔法;扱う;名門;放つ;目覚める;公爵;令嬢;家;王子;婚約;二;彼;勇者;無い;目;生;生きる;歳;死ぬ;聖;騎士;剣;英雄;中;強大;敵;巫女姫;聖女;女神;新しい;偽;一;皇太子;侯爵;人;少年;後;物語;時;ファンタジー-fantasy;転生;七;王国;王族;殿下;為る;妃;王太子;有る;ドラゴン-dragon;竜;族;言う;才能;大;冒険;活劇;ゾンビ-zombie;謎;社;モンスター-monster;挑む;探索;潜る;国王,103,魔王の成長物語
2013:C1,2013,1,夫;愛する;婚姻;結ぶ;私-代名詞;結婚;為る,1,愛と婚姻の関係
2013:C2,2013,2,ゲーム-game;機;居る;為;仮想;為る;アナ-announcer;ヒロイン-heroine;有る;リリー-lily;乙女;ライバル-rival;モブ;世界;ライフ-life;ゲー-game;言う;私-代名詞;死ぬ;人生;謳歌,61,仮想世界のゲーム体験
2013:C4,2013,4,人生;今度;生きる;思う;不尽;世界;住む;魂;呆気ない;死ぬ;為る;失意;生まれる;物語;人;反映;つ;旅立つ;悲劇;下さる;登場;自暴;自棄;転移;者;意図;為;スキル-skill;俺,13,人生と魂の探求
2013:C5,2013,5,美;少年;令嬢;御;?;女の子;幼馴染み;居る;僕;親友;祖父;様;両親;死;持つ;生まれる;寂しい;無い;結末;迎える,4,幼馴染と令嬢の恋
2013:C7,2013,7,スキル-skill;御;!;唯一;趣味;奮闘;物語;偽善,5,スキルと偽善の物語
2013:C8,2013,8,猫;為る;成る;姿;子猫,2,猫の存在と成長
2013:C9,2013,9,パーティー-party;追放;追い出す;リーダー-leader;元;者,1,パーティーの追放とリーダーシップ
2013:C11,2013,11,社員;会社;出勤;雇う;アルバイト-arbeit;職場,1,職場の雇用形態
2013:C42,2013,42,世界;女神;彼;選ぶ;為る;地球;物;信ずる;第;七,2,女神と地球の選択
2013:C52,2013,52,挫折;為る;突然;無能;勇者;様;幼馴染み;告白;少年;異,3,挫折と成長の物語
2013:C63,2013,63,生徒;達;学校;通う;物語;異;特異;能力;居る,4,特異能力を持つ生徒たち
2013:C67,2013,67,前代;未聞;歳;異;私-代名詞;気;=;年齢;女,3,異なる視点の年齢観
2014:C0,2014,0,魔女;女;魔法;巫女;剣;姫;騎士;魔術;師;使い;呼ぶ;使う;効果;皇太子;殿下;二;王子;馬鹿;男爵;令嬢;秘める;才能;スキル-skill;貰う;支配;自身;力;前世;乙女;アリス-外国;転生;クイーン-queen;レディー-lady;勇者;嘗て;元;魔王;貴族;為る;不幸;人生;討伐;魔族;勢力;死ぬ;人;間;達;聖女;皇国;世界;対抗;王太子;大;王女;皇后;少年;幼馴染み;其れ;異;成る;物語;者;育成;召喚;儀式;邪神;聖職;王国;第;掛ける;七;魔;妃;公爵;家;神話;巻き込む;命;気侭;運命;神;有る;抗う;魂;魔獣;襲う;迷宮;出来る;ファンタジー-fantasy;他;邪竜,112,魔女と女性の力
2014:C1,2014,1,居る;弟;双子;妹;両親;兄弟;姉妹;婚約;破棄;下さる;出来る;嫁ぐ;来る;縁;切る;一緒;暮らす;恋;友情;御;互い;幼馴染み;再婚;因る;為る;違い;恋愛;要素;身分;妻;成る;王妃;歳;姉;侯爵;夫人,16,兄弟姉妹の絆
2014:C2,2014,2,居る;ゲーム-game;中;公;内;デス-death;悪役;前世;其れ;主人;名前;転生;君;有る;世界;落とす;隠しキャラ,42,ゲーム内の存在と死
2014:C3,2014,3,学生;生活;中学;時代;高校;学園;居る;教室;其処;クラスメート-classmate;ファンタジック;女子;生徒,9,学園生活の回想
2014:C4,2014,4,世界;放り込む;迷い込む;居る;人生;歩む;歳;現われる;私-代名詞;苦しめる;彼;死;リハビリ-rehabilitation;送る;迎える;事,7,人生の迷いと自己探求
2014:C5,2014,5,継母;家族;有る;侯爵;家;為る;伯母;二;王子;ヒロイン-heroine;妹;母;兄弟;居る;伯爵;neo;書籍,2,継母と家族の物語
2014:C6,2014,6,日本;有る;現代;因る;人;返る,18,現代日本のアイデンティティ
2014:C14,2014,14,運命;翻弄;成る;娘;俺;どう;今日;子;達,1,運命に翻弄される娘
2014:C15,2014,15,コミック-comic;next;1;様;漫画;ファンタジー-fantasy;乙女;キャラ-character,18,ファンタジー乙女漫画の魅力
2014:C36,2014,36,人格;性癖;優しい;少年;価値;観;世界;前世,2,前世と人格の探求
2014:C40,2014,40,同棲;アルバイト-arbeit;友人;退魔;師;作家,1,同棲と創作の葛藤
2015:C0,2015,0,魔族;少女;魔法;魔女;呪い;使い;使い手;魔術;師;有る;スキル-skill;為;王子;婚約;仕舞う;公爵;伯爵;令嬢;王立;前世;乙女;生きる;シンデレラ-cinderella;ストーリー-story;英雄;物語;レディー-lady;貧乏;貴族;彼;豊か;為る;領主;成る;貰う;勇者;遣る;魔王;人;能力;人間;軍;居る;聖女;召喚;偽;王道;恋愛;女王;王女;者;裏切る;中;少年;世界;迷宮;支配;事;国王;王国;第;様;王妃;三;小国;娶る;国;王太子;歳;冒険;因る;才能;養成;目覚める;知る;マジック-magic;公;謎;住人;竜;ドラゴン-dragon;神;殺す;其処;達;本当;,102,魔法少女と呪いの物語
2015:C1,2015,1,為る;妹;仕舞う;姉;両親;無い;婚約;破棄;解消;私-代名詞;成る;結婚;恋;恋愛;要素;ラブコメ-love;comedy;終わる;飼い殺す,7,姉妹の関係性
2015:C2,2015,2,私-代名詞;ゲーム-game;参加;居る;内;ゲー-game;言う;運命;前世;妹;自分;世界;令嬢,40,ゲーム内の自己表現
2015:C3,2015,3,生徒;居る;授業;中;クラス-class;有る;学園;達,5,学園の授業と生徒たち
2015:C5,2015,5,幼い;妹;継母;ラブストーリー;侯爵;家;姉;因る,1,家族と愛の葛藤
2015:C6,2015,6,日本;人;ストーリー-story;!;ユキムラ;世界;転移;平成,26,日本の異世界転移物語
2015:C7,2015,7,無い;スキル-skill;有る;持つ;居る;言う,8,スキルの有無と影響
2015:C8,2015,8,猫;為る;成る;獣人;キャラ-character;最強,2,猫と獣人の最強キャラ
2015:C10,2015,10,中年;男性;男;出会う;人;的;世界;発想,2,中年男性の出会いと発想
2015:C24,2015,24,!;コミック-comic;舎;ウォーカー-walker;巻;2018;2019,40,コミックの進化と影響
2015:C28,2015,28,上司;ラスボス-last;boss;社長;さん;御;相手,2,上司との関係性
2015:C38,2015,38,友達;成る;恋人;此れ;恋;クリスマス-christmas;有る;曰く,1,友達から恋人へ
