id,year,topic,top_terms,count,label_llm
2015:C43,2015,43,学園;内;性別;偽る;生徒;達;他;主義;者,2,学園内の性別偽装
2015:C51,2015,51,生き残る;事;自暴;自棄;失敗;人生;設計;挑戦;為る,2,挑戦と失敗の人生
2015:C61,2015,61,世界;飛び出す;家;出る;離宮;祖父;様;没落,1,没落と新たな世界
2015:C66,2015,66,生活;記;女神;ミス-mistake;世界;放り込む;通り魔;差す-他動詞;居る;化け物,8,生活と化け物の交錯
2015:C73,2015,73,老人;困惑;為る;事;戸惑う;部屋;中;転生;言う,1,老人の転生と戸惑い
2015:C88,2015,88,成る;女の子;男;彼女;彼;高校;腐;女子;有る;親友,3,高校生の友情と恋愛
2015:C89,2015,89,少年;英雄;下校;中;生徒;達;高校;級;スキル-skill,6,高校生の英雄譚
2016:C0,2016,0,魔女;為る;魔法;使い;世界;彼女;少女;奴隷;学校;古代;魔術;師;学院;王太子;妃;公爵;令嬢;王女;王国;王妃;勇者;仲間;魔王;戦う;パーティー-party;追い出す;事;異邦;人;者;冒険;スキル-skill;呉れる;思う;御;チート-cheat;其処;生活;人類;滅亡;共;死ぬ;仕舞う;加害;人間;打ち取る;魔導;王;言う;偽;聖女;成る;実;有る;次期;二;王子;男爵;少年;迷宮;挑む;為;姪;女;復讐;巫女;一人;能力;強力;魔物;異;クラスメート-classmate;達;クラス-class;転生;王位;継承;国王;殿下;溺れる;存在;感;目;居る;著作;神;因る;ドラゴン-d,124,魔女と少女の運命
2016:C1,2016,1,婚約;破棄;解消;元;私-代名詞;居る;男性;恋;為る;ラブコメ-love;comedy;思い;因る;仕舞う;離婚;者;結婚;男爵;家;後継;令嬢,7,婚約の破棄とその影響
2016:C2,2016,2,ゲー-game;世界;有る;ゲーム-game;居る;内;ヒロイン-heroine;シナリオ-scenario;未;乙女;攻略,48,ゲームの存在と世界
2016:C3,2016,3,生徒;居る;幼馴染み;美;高校;生活;学校;男子,13,高校生活と幼馴染みの美
2016:C6,2016,6,日本;歴史;人;現代;為る;本能;寺,21,現代日本の歴史的探求
2016:C8,2016,8,猫;姿;成る;子猫;為る,1,猫の成長と変化
2016:C11,2016,11,チート-cheat;有る;残業;為る;職場;名乗る;女性;契約,2,職場のチートと残業
2016:C14,2016,14,世界;乙女;運命;変える;小説;様;ゲーム-game;シナリオ-scenario;少女;何;私-代名詞;もう;失う;薄幸;人生;終わる,6,運命を変える少女の物語
2016:C16,2016,16,ロボット-robot;宇宙;人;公;魔法;為る;謎;人生;謳歌,4,ロボットと宇宙の謎
2016:C35,2016,35,初恋;思い出;幼馴染み;女の子;過去;戻る;後悔,1,初恋の思い出と後悔
2016:C54,2016,54,!;書籍;小説;家;ブック-book;様;発売;予定;ページ-page,42,書籍発売予定の小説
2016:C76,2016,76,少年;物語;目指す;記憶;喪失;器用;貧乏;彼;忘れる,1,記憶喪失の少年の物語
2016:C77,2016,77,魔物;討伐;暮れる;彼;大;賢者;成る;弱い;さ,3,賢者の成長と試練
2017:C0,2017,0,魔女;殺戮;者;不死;王;エルフ-elf;少女;使い魔;魔力;量;初級;魔法;知る;使う;異;二;王女;子爵;令嬢;公爵;家;プリンス-prince;前世;乙女;悪役;アナ-announcer;ヒロイン-heroine;クレア-外国;英雄;目指す;勇者;中;救国;成る;運命;大;罪人;他;魔王;持つ;軍;居る;間;聖女;選ぶ;有る;様;座;王妃;王太子;姫;君;貴族;男;妃;生;少年;失う;謎;声;化け物;洞窟;スキル-skill;剣;教える;授かる;授与;転生;王子;皇子;七;後;宮入り;殿下;三;婚約;世界;陣;言う;魔族;勢力;神々;其処;彼;?;陰陽;師;モンスター-monster;撃,134,魔女と不死の王
2017:C1,2017,1,為る;妹;仕舞う;両親;後輩;何故;彼女;娘;娶る;彼;結婚;事;君-代名詞;アレクシア-alexia;子爵;令嬢;私-代名詞;婚約;解消;どう;突然;伯爵;家;姉妹;兄弟;居る;天使;様,9,妹との関係性
2017:C2,2017,2,ゲーム-game;世界;居る;中;ゲーマー;其れ;少女;事;気付く;関係;乙女;生まれ変わる;大好き;酷似;私-代名詞;転生,45,ゲームの世界とゲーマー
2017:C3,2017,3,悪役;令嬢;まったり;学園;貴族;学院;入学;為る;教師,1,悪役令嬢の学園生活
2017:C4,2017,4,転移;者;独り暮らし;始める;普通;生きる;世界;否応;巻き込む,3,転移と孤独な生活
2017:C5,2017,5,異母;妹;継母;侯爵;令嬢;家;義弟,1,家族の絆と葛藤
2017:C6,2017,6,戦国;時代;帝国;為る;歴史;現代;日本;言う,14,戦国時代と現代日本
2017:C7,2017,7,外れる;スキル-skill;進化;外れ;世界;無い,16,スキルの進化と外れ
2017:C9,2017,9,最強;パーティー-party;追放;リーダー-leader;抜ける;元,19,パーティーの追放と再生
2017:C12,2017,12,青春;物語;幼少;頃;幼稚;園;夢;希望,5,幼少期の夢と希望
2017:C19,2017,19,無職;成る;再;就職;稼ぐ;金;コンビニ-convenience;年;世界,2,無職と再就職の葛藤
2017:C20,2017,20,脇役;キャラ-character;為る;物語;素敵;イラスト-illustration;エンジョイ-enjoy,1,脇役の魅力と物語
2017:C21,2017,21,歳;迎える;12;魔王;達;王宮;騎士;皇,2,12歳の魔王と王宮
2017:C37,2017,37,前世;不幸;今;生活;無い;世界;記憶;一寸,3,前世と現在の影響
2017:C50,2017,50,容姿;端麗;憧れ;的;無い;少女;ブラコン-brother;complex;妹;王都;学園,3,憧れの少女とブラコン
2017:C55,2017,55,最弱;冒険;さん;新人;謎;スキル-skill;発揮,4,最弱の冒険者の成長
2017:C60,2017,60,母;亡くなる;のんびり;暮らす;人生;一変;家;生まれる;私-代名詞,3,母の死と人生の変化
2017:C62,2017,62,発売;予定;!;コミック-comic;漫画;重版;決定,48,漫画の発売と重版
2017:C70,2017,70,結婚;生活;令嬢;婚約;夫;態度;妻;為る;未亡人,4,結婚と未亡人の生活
2017:C84,2017,84,前;死ぬ;命;断つ;為る;自殺;言う;運命;輪廻;転生,5,運命と輪廻の自殺
2017:C87,2017,87,高卒;優等;生;自;堕落;天使;ダンジョン;マスター-master,4,高卒の天使と堕落
2018:C0,2018,0,発売;為る;!;コミカライズ;文庫;魔剣;魔女;世界;女神;様;魔法;成る;魔物;使う;生まれる;魔力;魔術;師;量;才能;王子;婚約;公爵;令嬢;子爵;一;馬鹿;美女;少女;生まれ変わる;乙女;ゲーム-game;女優;シエラ-sierra;貴族;嵌める;人;運命;権;無い;暗殺;者;死者;魔王;軍;:;帝国;天王;支配;王国;内;聖女;召喚;言う;力;僧侶;騎士;目指す;皇后;美姫;相手;結婚;皇帝;日;王太子;好き;暮らす;行く;生活;ファンタジー-fantasy;妖怪;倒す;体力;学院;ゴブリン-goblin;追い掛ける;狩り;巣窟;スキル-skill;得る;仲間;勇者;学力;有る;王;,208,魔剣のコミカライズ
2018:C1,2018,1,姉妹;頃;両親;物語;様;彼女;一緒;嫁入り;私-代名詞;婚約;居る;結婚;決まる;嫁;さん;新婚;生活;恋;成就;惚れる;恋愛;要素;穏便;為る;貴族;娘;歳;誕生;子;自分;後妻;入る,15,姉妹の嫁入り物語
2018:C2,2018,2,ゲーム-game;機;私-代名詞;初心;世界;居る;シナリオ-scenario;無理;ゲー-game;転生;乙女,44,ゲームの世界と自己認識
2018:C3,2018,3,為;物語;教室;授業;中;日;書籍;教師;伯爵;令嬢;王都;学園;ディアナ;目指す;有る,7,教室の物語と教師
2018:C4,2018,4,人々;物語;のんびり;ライフ-life;始まる;二;人生;世界;住人;後悔;遣り直す;此れ;病;倒れる;為る;生;転生;超;貧乏;天涯;孤独;様;生活;私-代名詞,6,のんびりとした人生の物語
2018:C5,2018,5,ぽんこつ;少女;幼馴染み;居る;女の子;彼女;為る;好く;過ぎる,9,幼馴染みとの恋愛
2018:C6,2018,6,時;日本;主義;有る;現代;戦国;時代;世界,27,現代日本と戦国時代の主義
2018:C7,2018,7,無し;スキル-skill;所持;有る;為る;チート-cheat,9,スキルとチートの関係
2018:C9,2018,9,パーティー-party;追放;魔族;有る;元;盗賊,7,追放されたパーティーの逆襲
2018:C13,2018,13,後悔;為る;死後;居る;幼馴染み;俺;高校,1,高校時代の後悔
2018:C17,2018,17,継母;孤児;院;愛する;彼女;姉;因る;異母,3,異母姉妹の愛と孤独
2018:C27,2018,27,ヒロイン-heroine;出会う;選ぶ;ヒーロー-hero;他;攻略;ギルド-guild;追放,4,ヒロインとの出会いと選択
2018:C58,2018,58,御;隣り;子猫;住む;居る;遭遇;為る;トウキョウ,1,東京の隣人と子猫
2018:C68,2018,68,登場;人物;宇宙;人;?;世界;目覚める;主人;居る;異,1,異世界での目覚め
2018:C71,2018,71,美しい;妹;伯爵;令嬢;二;王子;家;妃;成る,1,美しい妹と王子たち
2018:C81,2018,81,粗筋;俺;上司;転職;仕舞う;何故;全て,2,転職と自己探求
2018:C85,2018,85,エミリア;花嫁;為る;リカ;数奇;運命;有る;ノア,4,運命に翻弄される花嫁
2018:C86,2018,86,人;見知り;生;男子;違い;戸惑う;青春;学園;生活,12,青春の戸惑いと成長
2019:C0,2019,0,魔女;為る;此れ;魔法;女神;呼ぶ;錬金;術士;魔術;才能;持つ;極める;師;マジック-magic;魔王;討伐;力;言う;邪神;倒す;軍;聖女;成る;偽;有る;様;新しい;皇太子;妃;王女;王妃;侯爵;令嬢;皇后;学院;成り上がる;物語;レベル-level;想像;以上;確率;術;為;能力;スキル-skill;他;人;貰う;帝国;貴族;皇帝;王子;王国;守る;殿下;二;陛下;御;頃;冒険;一人;迷宮;ダンジョン;攻略;神;名乗る;世界;戻る;後;居る;死亡;ドラゴン-dragon;達;来る;竜;事;意識;魔物;使い;魔力;無い;闇;精霊;私-代名詞;洞窟;存在;探索;者;発見;公爵;子爵;下級;,153,魔女と錬金術の神秘
2019:C1,2019,1,仕舞う;姉;達;無い;仲;悪い;為る;性格;恋;女性;人;気持ち;私-代名詞;付き合う;美;男子;婚約;破棄;解消;最愛;言う;嫌う;悟る;嫁探し;皇太子;妃;結婚;歳;女;子爵;家;成る;伯爵;公爵,27,姉妹の関係性の葛藤
2019:C2,2019,2,ゲーム-game;世界;此れ;遣る;内;ゲー-game;本編;中;転生;乙女;前世;プレー-play,71,ゲームの世界観
2019:C3,2019,3,女子;生徒;学校;一;高校;生活;孤立;為る;三;俺;幼馴染み;時代;人生;後悔;遣り直す;物語,34,高校生活の孤立
2019:C4,2019,4,此れ;人生;自暴;自棄;幕;生命;者;物語,1,人生の幕と物語
2019:C5,2019,5,俺;彼女;言う;美;此れ;恋;デレ;少女;幼馴染み;居る,11,幼馴染みとの恋愛
2019:C6,2019,6,現代;日本;人;有る;生まれ変わり;者;前世,17,日本人の生まれ変わり
2019:C7,2019,7,レア-rare;スキル-skill;最強;レベル-level;取得;為る,17,レアスキルの取得と成長
2019:C8,2019,8,猫;為る;黒猫;仄々;何とぞ;宜しく,3,猫との共生
2019:C9,2019,9,パーティー-party;追放;リーダー-leader;元;一員;結成,40,パーティーの結成と追放
2019:C18,2019,18,貴族;令嬢;孤児;物語;為る;育つ;私-代名詞;伯爵;家;養女;院;姉;二人;親戚,3,貴族令嬢と孤児の物語
2019:C19,2019,19,無職;成る;稼ぐ;事;業;者;為る;業界,4,無職と業界の変化
2019:C22,2019,22,アナ-announcer;腐;女子;乙女;ゲーム-game;リリー-lily;世界,18,アナウンサーと乙女ゲーム
2019:C23,2019,23,読者;日;コミカライズ;様;2021;9;/;24,35,コミカライズと読者の関係
2019:C39,2019,39,双子;妹;両親;伯爵;家;迫害;為る;達,2,双子と家族の迫害
2019:C44,2019,44,彼;学校;中;生徒;達;少年;スキル-skill;迫害;為る,6,学校での少年の迫害
2019:C47,2019,47,公爵;令嬢;王子;婚約;男爵;家;有る,32,恋愛と階級の葛藤
2019:C49,2019,49,私-代名詞;婚約;愛する;結婚;居る;浮気;新しい;恋;世界;恋愛,11,愛と浮気の新しい世界
2019:C59,2019,59,架空;存在;事;前世;絶滅;宇宙;船;人,3,架空の宇宙人と絶滅
2019:C65,2019,65,世界;生まれ変わる;得る;居る;!;豊か;為る,2,生まれ変わる世界の豊かさ
2019:C79,2019,79,馬鹿;王子;勇者;首;大;貴族;権力;者;武将;転生,11,転生した武将の逆襲
2019:C80,2019,80,彼;転生;因る;死亡;為る;人生;無い;幼馴染み;賢者;呼ぶ,2,転生と友情の物語
2020:C0,2020,0,魔術;士;魔法;才能;魔力;多い;使う;魔女;覇王;居る;物語;危険;人物;日本;人;戦国;時代;師;最強;初級;魔導;王太子;妃;公爵;令嬢;王子;婚約;皇太子;殿下;家;彼女;正体;生まれ変わる;絶世;美女;選ぶ;覇;唱える;魔物;狩り;女神;力;神;様;歴史;魔族;戦い;王;魔王;成る;軍;聖女;偽;結婚;末;王女;五;意;決して;私-代名詞;飛び下りる;自殺;人生;送る;者;裏切る;忍者;剣術;無い;育てる;少年;武術;皇帝;陛下;呼ぶ;事;王宮;二;三;為る;歳;冒険;ギルド-guild;追放;再;就職;職員;溜め込む;討伐;勇者;地球;帰還;軈て;ドラゴン-dragon;達;古;竜,150,魔術と魔法の才能
2020:C1,2020,1,妹;様;仕舞う;言う;御前;有る;姉;私-代名詞;結婚;女;婚約;為る;成る;恋;憧れる;話;婚姻;結ぶ;不倫;令嬢;エレン;アンナ;解消;破棄;過ぎる;突然;正妻;父;再婚;家;次女;子爵;母;亡くなる;奪う;ヒロイン-heroine;無い;男爵,37,姉妹の関係性
2020:C2,2020,2,成る;ゲーム-game;世界;有る;此れ;!;悪役;私-代名詞;死ぬ;中;人生;掛ける,21,ゲームの存在と意義
2020:C4,2020,4,転移;者;旅;出る;全て;絶望;スキル-skill;俺;為る,1,絶望の旅路
2020:C5,2020,5,居る;中学;頃;幼馴染み;学校;中;何処;私-代名詞;今日,8,幼馴染みとの再会
2020:C7,2020,7,外れる;スキル-skill;存在;有る;事;アイテム-item,19,スキルの存在と価値
2020:C8,2020,8,猫;成る;為る;鳴く;様;物語,1,猫の物語とその声
2020:C9,2020,9,パーティー-party;追放;最強;元;リーダー-leader;抜ける,31,パーティーの追放と再構築
2020:C10,2020,10,男;世界;人;因る;居る;達;様;転生,2,男たちの転生と世界
2020:C13,2020,13,中学;時代;振る;幼馴染み;仕舞う;高校;居る;失望;為る;事;後悔;告白;俺;思い出;自殺,7,幼馴染との失望と成長
2020:C17,2020,17,此れ;恋;女;らしい;様;奇麗;容姿;端麗;姉妹,6,姉妹の美しさと恋
2020:C26,2020,26,サバイバル-survival;生活;人生;遣り直す;過ごす;為;成る,3,サバイバルと人生の再構築
2020:C46,2020,46,社員;職場;オフィス-office;年下;金髪;美,2,年下社員との職場恋愛
2020:C48,2020,48,ゲーム-game;出る;恋愛;公;使う;令嬢;生まれ変わる,4,恋愛ゲームの新たな展開
2020:C53,2020,53,読む;方;改稿;版;掲載;予定;積り;書く;為る,18,改稿と掲載のプロセス
2020:C83,2020,83,無い;母;子供;居る;人生;満喫;運命;言う;シンデレラ-cinderella;ストーリー-story,4,運命と母の不在
